Minuto,Arduino_1,Arduino_2,Hobo_1,Hobo_2
1,-14.955,-14.895,-14.05533333,-14.0165
2,-14.7975,-14.8275,-13.88133333,-13.88766667
3,-14.626,-14.762,-13.72116667,-13.75316667
4,-14.44,-14.675,-13.5555,-13.63816667
5,-14.2975,-14.595,-13.3965,-13.50466667
6,-14.126,-14.5,-13.239,-13.3775
7,-13.985,-14.41,-13.08166667,-13.258
8,-13.845,-14.295,-12.91283333,-13.12566667
9,-13.702,-14.19,-12.76333333,-13.01266667
10,-13.5625,-14.0625,-12.61433333,-12.88783333
11,-13.425,-13.97,-12.46633333,-12.7695
12,-13.28,-13.8625,-12.31833333,-12.6515
13,-13.16,-13.75,-12.196,-12.528
14,-13.03,-13.645,-12.06766667,-12.3985
15,-12.89,-13.512,-11.93366667,-12.29383333
16,-12.75,-13.41,-11.8125,-12.17766667
17,-12.6275,-13.295,-11.704,-12.06766667
18,-12.47,-13.11,-11.55916667,-11.91566667
19,-12.44,-12.7825,-11.27783333,-11.52916667
20,-12.576,-12.642,-11.284,-11.445
21,-12.875,-12.56,-11.451,-11.58316667
22,-13.1575,-12.63,-11.728,-11.82466667
23,-13.47,-12.72,-12.0555,-12.12866667
24,-13.815,-12.8775,-12.3925,-12.44166667
25,-14.1425,-13.015,-12.73233333,-12.7695
26,-14.476,-13.238,-13.05666667,-13.08183333
27,-14.83,-13.47,-13.3715,-13.3905
28,-15.095,-13.705,-13.6575,-13.67016667
29,-15.345,-13.9075,-13.93283333,-13.94566667
30,-15.595,-14.1575,-14.191,-14.1975
31,-15.838,-14.376,-14.438,-14.4445
32,-16.045,-14.61,-14.64766667,-14.6675
33,-16.25,-14.7975,-14.872,-14.872
34,-16.448,-14.988,-15.064,-15.07733333
35,-16.6225,-15.19,-15.25766667,-15.26433333
36,-16.6225,-15.345,-15.37166667,-15.37166667
37,-16.488,-15.44,-15.325,-15.30466667
38,-16.31,-15.485,-15.23066667,-15.17066667
39,-16.124,-15.5,-15.11066667,-15.05733333
40,-15.955,-15.5,-14.97116667,-14.94466667
41,-15.7975,-15.5,-14.83216667,-14.82566667
42,-15.6275,-15.47,-14.6805,-14.70016667
43,-15.44,-15.44,-14.52316667,-14.58866667
44,-15.28,-15.38,-14.36616667,-14.484
45,-15.11,-15.3275,-14.21666667,-14.3595
46,-15,-15.25,-14.08116667,-14.249
47,-14.845,-15.175,-13.92,-14.12
48,-14.702,-15.088,-13.74683333,-14.00366667
49,-14.5625,-14.985,-13.61266667,-13.87483333
50,-14.44,-14.91,-13.47266667,-13.75316667
51,-14.2975,-14.795,-13.33983333,-13.63816667
52,-14.19,-14.705,-13.19466667,-13.52383333
53,-14.026,-14.602,-13.063,-13.40266667
54,-13.895,-14.485,-12.9315,-13.28333333
55,-13.75,-14.41,-12.8005,-13.16333333
56,-13.66,-14.295,-12.68883333,-13.05666667
57,-13.53,-14.205,-12.55883333,-12.95033333
